名称,所在地,所属部门
东北大学,辽宁省沈阳市,教育部
郑州大学,河南省郑州市,河南省
湖南大学,湖南省长沙市,教育部
云南大学,云南省昆明市,云南省
西北农林科技大学,陕西省咸阳市,教育部
新疆大学,新疆维吾尔自治区乌鲁木齐市,新疆维吾尔自治区
