,province code,city code,city name
0,110000,110100,北京市
1,120000,120100,天津市
2,130000,130100,石家庄市
3,130000,130200,唐山市
4,130000,130300,秦皇岛市
5,130000,130400,邯郸市
6,130000,130500,邢台市
7,130000,130600,保定市
8,130000,130700,张家口市
9,130000,130800,承德市
10,130000,130900,沧州市
11,130000,131000,廊坊市
12,130000,131100,衡水市
13,130000,131101,任丘市
14,140000,140100,太原市
15,140000,140200,大同市
16,140000,140300,阳泉市
17,140000,140400,长治市
18,140000,140500,晋城市
19,140000,140600,朔州市
20,140000,140700,晋中市
21,140000,140800,运城市
22,140000,140900,忻州市
23,140000,141000,临汾市
24,140000,141100,吕梁市
25,150000,150100,呼和浩特市
26,150000,150200,包头市
27,150000,150300,乌海市
28,150000,150400,赤峰市
29,150000,150500,通辽市
30,150000,150600,鄂尔多斯市
31,150000,150700,呼伦贝尔市
32,150000,150800,巴彦淖尔市
33,150000,150900,乌兰察布市
34,150000,151000,东胜
35,150000,152200,兴安盟
36,150000,152500,锡林郭勒盟
37,150000,152900,阿拉善盟
38,150000,152901,霍林郭勒市
39,210000,210100,沈阳市
40,210000,210200,大连市
41,210000,210300,鞍山市
42,210000,210400,抚顺市
43,210000,210500,本溪市
44,210000,210600,丹东市
45,210000,210700,锦州市
46,210000,210800,营口市
47,210000,210900,阜新市
48,210000,211000,辽阳市
49,210000,211100,盘锦市
50,210000,211200,铁岭市
51,210000,211300,朝阳市
52,210000,211400,葫芦岛市
53,210000,211500,北宁
54,220000,220100,长春市
55,220000,220200,吉林市
56,220000,220300,四平市
57,220000,220400,辽源市
58,220000,220500,通化市
59,220000,220600,白山市
60,220000,220700,松原市
61,220000,220800,白城市
62,220000,222400,延边州
63,220000,222401,延吉市
64,230000,230100,哈尔滨市
65,230000,230200,齐齐哈尔市
66,230000,230300,鸡西市
67,230000,230400,鹤岗市
68,230000,230500,双鸭山市
69,230000,230600,大庆市
70,230000,230700,伊春市
71,230000,230800,佳木斯市
72,230000,230900,七台河市
73,230000,231000,牡丹江市
74,230000,231100,黑河市
75,230000,231200,绥化市
76,230000,232700,大兴安岭
77,310000,310100,上海市
78,320000,320100,南京市
79,320000,320200,无锡市
80,320000,320300,徐州市
81,320000,320400,常州市
82,320000,320500,苏州市
83,320000,320600,南通市
84,320000,320700,连云港市
85,320000,320800,淮安市
86,320000,320900,盐城市
87,320000,321000,扬州市
88,320000,321100,镇江市
89,320000,321200,泰州市
90,320000,321300,宿迁市
91,320000,321301,张家港
92,330000,330100,杭州市
93,330000,330200,宁波市
94,330000,330300,温州市
95,330000,330400,嘉兴市
96,330000,330500,湖州市
97,330000,330600,绍兴市
98,330000,330700,金华市
99,330000,330800,衢州市
100,330000,330900,舟山市
101,330000,331000,台州市
102,330000,331100,丽水市
103,340000,340100,合肥市
104,340000,340200,芜湖市
105,340000,340300,蚌埠市
106,340000,340400,淮南市
107,340000,340500,马鞍山市
108,340000,340600,淮北市
109,340000,340700,铜陵市
110,340000,340800,安庆市
111,340000,341000,黄山市
112,340000,341100,滁州市
113,340000,341200,阜阳市
114,340000,341300,宿州市
115,340000,341400,巢湖
116,340000,341500,六安市
117,340000,341600,亳州市
118,340000,341700,池州市
119,340000,341800,宣城市
120,350000,350100,福州市
121,350000,350200,厦门市
122,350000,350300,莆田市
123,350000,350400,三明市
124,350000,350500,泉州市
125,350000,350600,漳州市
126,350000,350700,南平市
127,350000,350800,龙岩市
128,350000,350900,宁德市
129,350000,350901,永安市
130,350000,350902,晋江市
131,360000,360100,南昌市
132,360000,360200,景德镇市
133,360000,360300,萍乡市
134,360000,360400,九江市
135,360000,360500,新余市
136,360000,360600,鹰潭市
137,360000,360700,赣州市
138,360000,360800,吉安市
139,360000,360900,宜春市
140,360000,361000,抚州市
141,360000,361100,上饶市
142,370000,370100,济南市
143,370000,370200,青岛市
144,370000,370300,淄博市
145,370000,370400,枣庄市
146,370000,370500,东营市
147,370000,370600,烟台市
148,370000,370700,潍坊市
149,370000,370800,济宁市
150,370000,370900,泰安市
151,370000,371000,威海市
152,370000,371100,日照市
153,370000,371200,莱芜市
154,370000,371300,临沂市
155,370000,371400,德州市
156,370000,371500,聊城市
157,370000,371600,滨州市
158,370000,371700,菏泽市
159,370000,371701,莱阳市
160,410000,411600,周口市
161,410000,411700,驻马店市
162,410000,419000,济源市
163,410000,410100,郑州市
164,410000,410200,开封市
165,410000,410300,洛阳市
166,410000,410400,平顶山市
167,410000,410500,安阳市
168,410000,410600,鹤壁市
169,410000,410700,新乡市
170,410000,410800,焦作市
171,410000,410900,濮阳市
172,410000,411000,许昌市
173,410000,411100,漯河市
174,410000,411200,三门峡市
175,410000,411300,南阳市
176,410000,411400,商丘市
177,410000,411500,信阳市
178,420000,420100,武汉市
179,420000,420200,黄石市
180,420000,420300,十堰市
181,420000,420500,宜昌市
182,420000,420600,襄阳
183,420000,420700,鄂州市
184,420000,420800,荆门市
185,420000,420900,孝感市
186,420000,421000,荆州市
187,420000,421100,黄冈市
188,420000,421200,咸宁市
189,420000,421300,随州市
190,420000,422800,恩施州
191,420000,423100,仙桃市
192,420000,423200,潜江市
193,420000,423300,天门市
194,420000,423400,神农架林区
195,420000,423401,襄樊市
196,420000,423402,钟祥市
197,430000,430100,长沙市
198,430000,430200,株洲市
199,430000,430300,湘潭市
200,430000,430400,衡阳市
201,430000,430500,邵阳市
202,430000,430600,岳阳市
203,430000,430700,常德市
204,430000,430800,张家界市
205,430000,430900,益阳市
206,430000,431000,郴州市
207,430000,431100,永州市
208,430000,431200,怀化市
